id,category,title,ingredients
resep-24976347,daging sapi,Lapis Daging Surabaya Empuk dan Gurih,"['1/2 kg Daging Sapi Has Dalam', '4 sdm Minyak', '500 ml Air Matang', '1 buah Tomat Merah, cincang', '100 ml Kecap Manis', '2 sdm Bawang Merah Goreng', 'BUMBU AROMATIK (tambahan saya) :', '1 btg Sereh, potong empat bagian', '1 ruas Laos/Lengkuas', '3 lmbr Daun Salam', 'BUMBU DIHALUSKAN/MARINASI :', '8 siung Bawang Putih', '5 siung Bawang Merah', '5 butir Kemiri', '2 buah Cabe Merah Keriting (me;Tanjung&amp;Keriting)', '1/2 sdt Pala Bubuk', '1/2 sdt Merica Bubuk', '1 sdt Gula Pasir', '1 sdt Garam']"
resep-24983951,daging sapi,Kalio Daging khas Minang,"['1 kg daging sapi', '100 gr cabe giling', '1500 ml santan (2 butir kelapa)', ' Bumbu halus :', '15 butir bawang merah', '8 siung bawang putih', '15 gr jahe', ' Bumbu Rempah :', '1 sdm ketumbar bubuk', '5 buah cengkeh', '3 buah kapulaga', '1/2 sdt pala bubuk', '3 cm kayumanis', '1 buah bunga lawang', '1 buah cabe jawa', ' Bumbu aromatik :', '20 gr lengkuas', '2 batang serai', '1 lembar daun kunyit', '5 lembar daun jeruk', ' Seasoning :', '1/2 sdm garam', '2 sdt kaldu bubuk', '1 sdt gula pasir']"
resep-24973685,daging sapi,Soto Daging,"['250 gr Daging Sapi', '800 ml Air', '4 siung Bawang Putih', '1 sachet Bumbu Soto Instan', '2 btg Seledri', 'Seiris Jahe, geprek', '2 btg Daun Bawang Pre', 'Secukupnya Merica, garam, gula, penyedap']"
resep-24983605,daging sapi,Gepuk Daging,"['Secukupnya daging sapi (yang sudah direbus/di presto)', '65 ml santan kara', '2-3 butir kemiri', '10 bawang merah', '5 bawang putih', '1 sdt ketumbar bubuk', '1 sdt merica bubuk', 'secukupnya Laos/ 1 bks laos bubuk', '2 keping gula merah/secukupnya', '1 sdt garam', '1 sdt kaldu bubuk', 'secukupnya Asam jawa', 'secukupnya Air', '1 lembar daun salam', '1 batang serai']"
resep-24816201,daging sapi,Kalio daging khas Minangkabau,"['2 kg daging sapi tanpa lemak', '2 bungkus bumbu rendang siap beli', 'Bumbu halus tambahan', '5 siung bawang merah', '3 siung bawang putih', '3 butir kemiri', '1 ruas Lengkuas', '1 sdt garam', '2 sdm gula merah', '2 sdm cabe bubuk', 'Bumbu Cemplung', '3 lembar daun jeruk', '2 batang sereh geprek', '1 lembar daun kunyit', '2 lembar daun salam', 'Santan kental dari 3 kelapa']"
resep-24973558,ikan,Ikan goreng kecap,"['12 potong ikan masak', 'Sec minyak goreng', '5 buah cabe rawit merah dan hijau haluskan', '1 siung bawang putih iris/cincang', '5 sdm air minum', 'Sec kecap manis', '1/4 sdt garam halus']"
resep-24730348,ikan,Kuah Pedas Kepala Ikan Patin,"['1 kepala ikan patin potong dua (boleh ikan yang lain)', '1 buah timun', '3 buah tomat hijau', '1 batang serai', '1 lbr daun salam', 'Secukupnya air', 'Secukupnya garam gula penyedap', '5 siung bawang merah', '3 siung bawang putih', '1 ruas kunyit', '1/2 ruas jahe', '1/2 ruas kencur', '1 ruas lengkuas muda', '1/4 sdt lada', '1/2 sdt ketumbar', '1/4 sdt pala', '2 butir kemiri', '15 cabe rawit', '1/4 sdt terasi']"
resep-23902397,ikan,Pampis Cakalang Asap,"['300 gr cakalang asap', '1 ikat kemangi', '1 buah tomat, potong dadu kecil', '1 sdt garam (secukupnya)', '1 sdt gula', '1/4 sdt merica bubuk', '1/4 sdt kaldu jamur bubuk:', '7 butir bawang merah', '5 buah cabe merah besar', '5 buah cabe rawit merah', '1 batang sereh bagian putihnya saja, iris halus', '1 ruas jari jahe, memarkan', '3 lembar daun jeruk, iris halus', '1 lembar daun pandan', '1 lembar daun kunyit']"
resep-24984268,ikan,Ikan Kembung Pedas Ketumbar,"['2 ekor Ikan Kembung', '1/3 sdm Bubuk Marinasi', '1 sdt Garam Himalaya', '1 sdt Kaldu Jamur murni', '1/2 sdt Merica bubuk (tambahan)', '1 sdt Gula pasir (me : Gula merah)', '300 ml Air', 'Minyak goreng', '4 butir Bawang Merah', '2 siung Bawang Putih', '1 sdt Ketumbar butiran', '2 buah Cabe Merah', '4 buah Cabe Rawit', 'Minyak sayur']"
resep-24963693,ikan,Pindang Ikan Tongkol Tumis Pedas,"['1 kg Ikan Tongkol, saya pilih yang isi 2 ekor', '6 buah cabe rawit', '3 buah cabe keriting', '8 siung bawang merah', '8 siung bawang putih', '1 buah tomat', 'secukupnya daun salam', '2 sendok makan kecap manis', '2 sendok makan saos tiram', 'secukupnya garam', 'secukupnya gula merah', 'secukupnya kaldu jamur', '1 buah jeruk nipis']"
